Guidance_ID,Guidance_Description,Control_ID,Control_Description
FUNC-0000001254,A security assurance plan to address cyber security requirements defined in CSRS should be provided by the Service provider.,CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001199,"A service should be available to Data Subjects to request a copy of their Personal Data /Sensitive Personal Data. Further a system should be available for the Data User to securely provide a copy of their PD/SPD requested within a reasonable timeframe of receipt of request, and to enable them the Data Subject to have the data records corrected or deleted, according to their wishes.",CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
FUNC-0000001451,A site-to-site encrypted solution should be implemented for scenarios where remote access is required for a group of users (e.g. for Company satellite office).,CTRL-0000001176,"Remote access to the Company internal IT/OT networks shall be controlled to avoid the risk of external compromise, with access provided via standard, securely-managed encrypted services approved by the appointed CS architectural authorities."
FUNC-0000001293,"A Standard change request should be raised for changes with low-to-no impact on production, or for which approval is already granted (also referred to as a pre-authorised change).",CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
FUNC-0000001529,"A unified framework business continuity plan should be created, documented, and adopted to ensure all business continuity plans are consistent in addressing priorities for backup, recovery, testing, maintenance, and information security requirements.",CTRL-0000001475,The Company’s business continuity strategy and plans should reflect requirements for DR Plans for System Assets rated as having SEVERE or MAJOR business impact with respect to Availability.
FUNC-0000001033,A user ID should not be utilised by anyone except the individual to whom the ID has been issued. Individuals are responsible for all activities performed with their assigned user ID.,CTRL-0000001006,"Unique user ID's shall be attested, securely created and assigned to individual Employees, Contractors, and Third Party Users."
FUNC-0000001090,Access should be granted according to the principle of “Least Privilege”. Access should not be extended unless a legitimate business-requirement for specific access is formally requested and approved.,CTRL-0000001021,"Role-based access shall be granted to only perform authorised duties, which are relevant to corresponding job roles and responsibilities."
FUNC-0000001050,Access should be only granted on the services or systems that an individual has been specifically authorised to use as per business requirements.,CTRL-0000001015,"A formal user account provisioning process shall be in place, for provision of all types of accounts."
FUNC-0000001072,"Access should be revoked or appropriately modified under any of the following circumstances:
i. any change of role or position within Company organization;
ii. departure from Company organization at the end of employment or contract;
iii. security breaches;
iv. disciplinary breaches; and
v. inappropriate, negligent, or malicious behaviour.",CTRL-0000001018,There shall be a user access review process in place to ensure accounts are still required and access rights remain appropriate.
FUNC-0000001080,Access to a Visitor should be granted for the defined duration as per requirement.,CTRL-0000001429,Visitor access to the Company’s premises shall be strictly managed.
FUNC-0000001457,Access to API servers should be limited based on the capacity of servers and network bandwidth.,CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
FUNC-0000001240,"Access to company information, application or information systems from an untrusted network via BYOC/BYOD should be allowed only through the VPN/portal or reverse proxy.",CTRL-0000001516,Mobile Application Assets rated as having SEVERE or MAJOR business impact in terms of Confidentiality shall have appropriate Mobile Application Management (MAM) features enforced and enabled.
FUNC-0000001138,"Access to Company System Assets should be authenticated through Single Sign-On (SSO), or through alternative methods approved by the appointed CS architectural authorities.",CTRL-0000001415,"All users & devices shall be subject to the Company mandatory registration and authentication requirements, for access to all Company System Assets, using architectural components approved by the appointed CS architectural authorities."
FUNC-0000001087,Access to patch panels and cable rooms should restricted.,CTRL-0000001426,"Delivery and loading areas shall have restricted access, and shall be segregated from other areas of the premises."
FUNC-0000001278,Access to source code should be restricted to designated development personnel.,CTRL-0000001034,Source code shall be protected against unauthorised access or change.
FUNC-0000001211,"Access to the End-point system BIOS should be restricted to authorised personnel only, using password protection.",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001084,Access to these areas should be restricted to identified and authorised individuals.,CTRL-0000001426,"Delivery and loading areas shall have restricted access, and shall be segregated from other areas of the premises."
FUNC-0000001145,Account lockout counter should be set to a minimum of fifteen (15) minutes.,CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001144,Accounts should be locked after a maximum of 10 attempts within 15 mins for Company domain login as defined by the appointed CS architecture authorities. A warning message will be displayed to advise the use of this limit after the first failed attempt.,CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001588,Acquire IoT devices that integrate Microcontroller Units (MCUs) with hardware-based separation architectures to meet high assurance requirements. Configure security-sensitive applications to run within the trusted zone of the hardware. Configure device attestation of software prior to entering into the trusted mode.,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001573,Acquire IoT products that have undergone testing and received a device security certification.,CTRL-0000001169,"SOC (System & Organization Controls) attestations shall be obtained from Cloud and/or outsourced providers for System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity, and/or Availability.  In cases where SOC attestation are not available, the Company should reserve the right in the contract to conduct audit on the supplier’s site, processes, personnel and controls."
FUNC-0000001602,Actively search for indicators of compromise such as new botnet activity. Immediately remove infected IoT devices upon detection.,CTRL-0000001452,"Automated mechanisms (e.g. End-point Tools, Network Monitoring and Forensics Tools, Incident Workflow Management Tools) shall be employed to effectively execute threat hunting, prompt security alerts and provide advisory information."
FUNC-0000001452,Activities of vendors with remote access should be continuously monitored in real time throughout the remote session.,CTRL-0000001176,"Remote access to the Company internal IT/OT networks shall be controlled to avoid the risk of external compromise, with access provided via standard, securely-managed VPN services approved by the appointed CS architectural authorities."
FUNC-0000001190,"Adequate consent should be received from the Data Subject prior to data collection, and the consent obtained should be recorded & retained.",CTRL-0000001003,Personal Data and Sensitive Personal Data shall be collected in compliance with applicable data privacy laws.
FUNC-0000001388,"Adequate protection against denial of service/distributed denial of service (DoS/DDoS) attack should be ensured by Cloud Service Provider (CSP) for System Assets rated as having SEVERE business impact in terms of Availability, that are to be hosted in the Cloud.",CTRL-0000001052,IT System Assets rated as having SEVERE or MAJOR business impact in terms of Availability shall have appropriate High Availability features built into the architectural design to avoid single points of failure.
FUNC-0000001459,Administrative functions should not be exposed as APIs.,CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
FUNC-0000001627,"Adopt a software assurance maturity model (SAMM) to establish a secure development lifecycle for all developed IoT devices and components  (e.g., OWASP SAMM).",CTRL-0000001190,"A Secure System Development Life Cycle methodology shall be developed, deployed and maintained (e.g. DevSecOps), and shall be kept up-to-date to reflect and cater for new and emerging application platforms. All developments at the Company shall follow the chosen methodology."
FUNC-0000001620,"Adopt and define a standardized industry recognized risk management methodology that considers context, Risk Assessment (Risk Identification, Analysis, Evaluation), Treatment and Monitoring & Feedback. Effective risk management supports Information technology and baseline requirements as well as the organization's overall business strategy, goals and objectives.",CTRL-0000001451,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method responding to cyber risk, and prioritizing risk treatment."
FUNC-0000001520,"After cataloguing data within an IoT system, identify any locations and systems which store that data and apply Data-at-Rest encryption controls to those locations and systems. Monitor to ensure that new systems and components are not implemented without evaluating their storage of sensitive information.",CTRL-0000001182,"The Company information/data classified as Secret, or handled by System Assets rated as having SEVERE business impact with respect to Confidentiality and/or Integrity, shall be protected by Strong Encryption or hosted in a Secure Cell, whilst at rest on IT or OT systems."
FUNC-0000001052,"All accounts (including service, default, administrative accounts), should have a nominated owner/sponsor.",CTRL-0000001015,"A formal user account provisioning process shall be in place, for provision of all types of accounts."
FUNC-0000001041,All activities performed with emergency accounts should be logged.,CTRL-0000001011,"Emergency accounts shall only be used when access to privileged accounts is unavailable, and shall be strictly controlled."
FUNC-0000001323,All backed up data should be stored in a secure location.,CTRL-0000001045,"Data backups shall be logged, and securely stored/maintained in accordance with the agreed backup and restoration plan."
FUNC-0000001467,All certificates used for network devices should be current.,CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001304,All change activity should be logged and monitored.,CTRL-0000001037,Changes shall be deployed in accordance with the agreed roll-out plan for the change.
FUNC-0000001306,All changes performed should be reviewed and signed-off by the System Assets Owner.,CTRL-0000001042,"Changes to IT & OT System Assets shall be reviewed to ensure that they were successful, and then finally signed off by the relevant authority."
FUNC-0000001305,"All changes to information systems should be tested in a separate test environment (wherever possible) before implementation in a Production environment. Testing should include looking for security impacts due to flaws, weaknesses, incompatibility, or intentional malice.",CTRL-0000001036,"Changes to IT System Assets shall be properly tested in Test environments (where available), prior to deployment in Production. Changes to OT Assets, as per the MOC, shall be tested in the Factory Acceptance Test (FAT) followed by Site Acceptance Test (SAT). Testing shall cover cyber security aspects, where appropriate (e.g. negative testing of access controls)."
FUNC-0000001152,"All Company Employees and Contractors should be trained before onboarding, and then periodically reminded about/updated on Cyber Security trends, practices, and responsibilities.",CTRL-0000001410,A Cyber Security Awareness & Training Programme shall be designed and applied for all Company Employees and Contractors.
FUNC-0000001214,"All Company-managed End-point assets should be members of Company domain, and standalone systems should be discouraged.",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001233,"All Company-managed Mobile Devices, should have encrypted local storage, to protect Company information/data.",CTRL-0000001390,"The Company information accessed from, and stored in Mobile Devices shall be protected through a combination of device registration & authentication, access control, device-hardening in line with the Company End-point platform cyber security technical baselines, user awareness, and physical security controls."
FUNC-0000001110,All connections to the internet and other networks should be through suitably configured firewalls and access control lists on the routers.,CTRL-0000001422,The Company IT network boundaries & perimeters shall be securely managed in order to effectively protect trusted networks from untrusted networks.
FUNC-0000001426,All cyber reported security incidents should be logged in an IT Service Management (ITSM) tool.,CTRL-0000001345,"Cyber security events (that are anomalous to a normal expected baseline of operations & data flows) shall be flagged and reported as a potential cyber security incident as promptly as possible, upon detection."
FUNC-0000001244,"All database & middleware platforms should have hardening specifications selected or developed for them (e.g. relevant CIS Benchmarks, or Company platform security specifications), based on industry best practices.",CTRL-0000001188,"Hardening specifications for database technologies & common middleware platforms shall be defined, approved by the appointed CS architectural authorities, and implemented, to ensure that they can be properly secured."
FUNC-0000001424,All detected successful and failed cyber security breaches should be reported as a cyber security incident.,CTRL-0000001345,"Cyber security events (that are anomalous to a normal expected baseline of operations & data flows) shall be flagged and reported as a potential cyber security incident as promptly as possible, upon detection."
FUNC-0000001150,"All Employees and, Contractors who have access to Company Production networks and information assets should receive appropriate awareness and training on Company cyber security requirements and expectations.",CTRL-0000001410,A Cyber Security Awareness & Training Programme shall be designed and applied for all Company Employees and Contractors.
FUNC-0000001213,"All End-point assets should use a Company-approved Operating System build, as a basis for installation.",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001206,"All End-point assets within Company environment should have platform hardening specifications selected or developed for them (e.g. relevant CIS Benchmarks, or Company-specific platform security specifications), based on industry best practices.",CTRL-0000001185,"Hardening specifications for all types of the Company-managed End-points shall be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design."
FUNC-0000001209,All hardening requirements should be reviewed at least annually or earlier when triggered by business or technical requirement (e.g. as a result of an incident).,CTRL-0000001185,"Hardening specifications for all types of the Company-managed End-points shall be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design."
FUNC-0000001245,All hardening requirements should be reviewed at least annually or earlier when triggered by business or technical requirement (e.g. as a result of an incident).,CTRL-0000001188,"Hardening specifications for database technologies & common middleware platforms shall be defined, approved by the appointed CS architectural authorities, and implemented, to ensure that they can be properly secured."
FUNC-0000001482,"All identified findings should have an assigned risk-rating, treatment action, action owner, & timeline.",CTRL-0000001048,"Processes & procedures shall be defined to ensure that action plans are developed to address findings/non-compliances in a timely way.  Unaddressed findings shall be registered, then duly risk-assessed and treated, as per the Cyber Security Risk Management Guidelines & Procedures."
FUNC-0000001460,"All input data, such as schemas, types, and string patterns should be strictly defined and enforced at runtime. All incoming data to API should be validated, filtered, or sanitized.",CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
FUNC-0000001037,All IT service accounts which are in use should be documented with accompanying justification for their existence.,CTRL-0000001010,"Use of IT service accounts shall be strictly controlled, in order to avoid risks of compromise."
FUNC-0000001164,All keys should be encrypted for distribution. The encryption keys should not be shared between more than two parties to prevent any third party from accessing confidential data.,CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001468,All network devices should be subject to standard Vulnerability & Patch Management procedures.,CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001200,All pages in documents should be numbered to verify no missing pages to ensure the integrity of the document.,CTRL-0000001399,"Documents shall be labelled (including physical copies) with the data classification for confidentiality by the person who created the document, to ensure that documents are identified and protected according to the classification level."
FUNC-0000001238,All personal computers should be registered in the BYOC asset inventory once approved. BYOC systems should be validated for the pre-requisites and allowed only upon in case pre-requisites are met.,CTRL-0000001516,Mobile Application Assets rated as having SEVERE or MAJOR business impact in terms of Confidentiality shall have appropriate Mobile Application Management (MAM) features enforced and enabled.
FUNC-0000001198,"All personal data collected should be retained for the required processing and be deleted when no longer required, with records/logs kept of deletion.",CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
FUNC-0000001191,"All Personal Data/Sensitive Personal Data collected should be retained for the required processing and be deleted when no longer required, with records/logs kept of deletion.",CTRL-0000001003,Personal Data and Sensitive Personal Data shall be collected in compliance with applicable data privacy laws.
FUNC-0000001212,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",CTRL-0000001185,"Hardening specifications for all types of the Company-managed End-points shall be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design."
FUNC-0000001355,"All suspected or actual faults, and details of preventive and corrective maintenance should be recorded.",CTRL-0000001362,"IT and OT Physical Assets shall be effectively maintained, commensurate with risk-assessment and defined controls."
FUNC-0000001376,"All the Company staff should back up and transfer all work-related files and folders onto the Company-approved online storage, e.g. OneDrive for Business or SharePoint",CTRL-0000001364,"Removable media or devices from an unknown source shall not be used to connect to or access to the Company’s data, systems, devices etc."
FUNC-0000001136,"All the Company-managed IT/OT System Assets, including those hosted in the Cloud, should integrate with the Company’s Identity and Access Management (IAM) solutions.",CTRL-0000001415,"All users & devices shall be subject to the Company mandatory registration and authentication requirements, for access to all Company System Assets, using architectural components approved by the appointed CS architectural authorities."
FUNC-0000001248,All the Database and Middleware should use a Company standard build (where available).,CTRL-0000001032,Databases & middleware platforms shall be hardened in accordance with the defined specifications and should be incorporated into the Vulnerability Management processes & tooling.
FUNC-0000001334,All the restored data should be deleted from the test servers after completion of the restoration testing.,CTRL-0000001391,"Backup restoration shall be tested as per schedule, where defined in the backup & restore plan."
FUNC-0000001032,"All unnecessary vendor-supplied default, pre-set, or temporary installation accounts should be renamed or disabled (e.g. Guest accounts).",CTRL-0000001009,"Generic and Default accounts (e.g. as provided with “out-of-the-box” installations) shall be subject to password change, and strong password rules, in order to avoid risks of compromise."
FUNC-0000001469,"All unused or unwanted services, or ports not in use should be removed or disabled.",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001057,All user account de-provisioning requests should be retained for a minimum of 18 months for auditing purposes.,CTRL-0000001012,"User accounts shall be de-provisioned in a timely way, to avoid the risks of unused/unnecessary accounts being retained."
FUNC-0000001067,All user accounts inactive for more than 90 days should be identified and disabled.,CTRL-0000001019,Inactive accounts shall be disabled to avoid the risks of unused/unnecessary accounts being present for unauthorised use.
FUNC-0000001125,"All wireless vendor default installation settings, including but not limited to default wireless encryption keys, passwords, and SNMP community strings should be changed.",CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001048,An access request should be raised and approved by line manager or application owner to obtain access to Company systems.,CTRL-0000001015,"A formal user account provisioning process shall be in place, for provision of all types of accounts."
FUNC-0000001635,An approved vendor list should be based upon review of vendor cybersecurity practices certified with known frameworks such as ISO 27001 and SOC2 as well as history of vendor weaknesses.,CTRL-0000001175,"Suppliers and contractors shall be subject to periodic, risk-based assessment (e.g. using audits, SOC2/3 attestations, KPI/KRI reporting, or other forms of evaluation) to confirm they are meeting their cyber security obligations."
FUNC-0000001449,An audit trail for all remote access activities should be maintained.,CTRL-0000001176,"Remote access to the Company internal IT/OT networks shall be controlled to avoid the risk of external compromise, with access provided via standard, securely-managed VPN services approved by the appointed CS architectural authorities."
FUNC-0000001068,An automated solution should be used to identify inactive login IDs.,CTRL-0000001019,Inactive accounts shall be disabled to avoid the risks of unused/unnecessary accounts being present for unauthorised use.
FUNC-0000001292,"An Emergency change request should be raised if the change causes major impact, and requires immediate action to restore services, or to avoid imminent service loss. These are unplanned and urgent changes which cannot wait for a change window and should be executed with the help of the emergency change advisory board.",CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
FUNC-0000001197,"An inventory of  Personal Data/Sensitive Personal Data should be maintained if it is still required for processing.  (This can be achieved through use of System Asset records linked to BIA's, and PIA's.)",CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
FUNC-0000001425,"Anomalous/suspicious events identified by SIEM should be logged as a cyber security event of interest, further investigated, and raised as cyber security incident upon confirmation.",CTRL-0000001345,"Cyber security events (that are anomalous to a normal expected baseline of operations & data flows) shall be flagged and reported as a potential cyber security incident as promptly as possible, upon detection."
FUNC-0000001114,"Anti-spoofing measures should be in place on the external network perimeter, to block forged source IP addresses from entering the network.",CTRL-0000001422,The Company IT network boundaries & perimeters shall be securely managed in order to effectively protect trusted networks from untrusted networks.
FUNC-0000001410,"Anti-virus agent updates should be automatically pushed for network-connected IT End-points but initiated manually for OT environment, post vendor approval.",CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001407,Anti-virus definitions and security updates should be updated via controlled portable media as soon as possible (3-7 days of release) or at a minimum monthly for standalone End-points in the OT environment.,CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001417,Anti-virus definitions should be kept up-to-date for all Mobile Devices.,CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001403,"Anti-virus definitions should be kept up-to-date on all End-points, preferably by automatically pushing pattern updates on a daily basis to all network connected End-points.",CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001404,Anti-virus solutions should be active and running at all times on all End-points.,CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001412,"Anti-virus solutions should be configured for alerts for AV definition update failure, virus outbreak and other critical events, or failures which need immediate attention.",CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001405,Anti-virus solutions should be configured to connect to and communicate with a centralised anti-virus (console) solution for monitoring and maintenance.,CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001411,Anti-virus solutions should be configured to quarantine and clean the file(s) upon detection as per OEM guidelines.,CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001414,"Anti-virus solutions should be configured to send alerts to the centralised logging, and alerting systems such as SIEM to identify and report suspected malware.",CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001463,Any changes to the firewall rules should follow an approved change request based on the change management process.,CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001454,"API access in the Cloud should be secured by using signed/encrypted calls, with access keys treated as Confidential and duly protected.",CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
FUNC-0000001453,API should be secured with an API key (asymmetric key pair) or basic access authentication (username/password).,CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
FUNC-0000001432,Applicability and relevance of vulnerabilities in Company’ IT and OT environments should be identified by performing applicability assessments.,CTRL-0000001195,Risk of the Company exposure to identified technical vulnerabilities shall be assessed.
FUNC-0000001273,"Application architecture components (i.e. application functionality, authentication and authorisation, data utilised by the application) should include and assess cyber security requirements.",CTRL-0000001386,"Guidance on principles, practices & techniques for secure System Assets design, shall be provided, based on industry best practices for common models & platforms."
FUNC-0000001275,"Application session management, security configuration, parameter manipulation, input validation, error handling, logging etc. should be defined during the design phase.",CTRL-0000001386,"Guidance on principles, practices & techniques for secure System Assets design, shall be provided, based on industry best practices for common models & platforms."
FUNC-0000001661,Apply encryption and authentication to all satellite communication channels.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
