Control_ID,Control_Description
CTRL-0000001452,"Automated mechanisms (e.g. End-point Tools, Network Monitoring and Forensics Tools, Incident Workflow Management Tools) shall be employed to effectively execute threat hunting, prompt security alerts and provide advisory information."
CTRL-0000001451,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method responding to cyber risk, and prioritizing risk treatment."
CTRL-0000001450,Cyber security risks shall be treated in accordance with the Cyber Risk Management Methodology.
CTRL-0000001449,The Cyber Risk Management Guidelines & Procedures shall be aligned with the Enterprise Risk Management Framework and implemented consistently across the Company.
CTRL-0000001448,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method for business impact, threat, vulnerability, and likelihood assessment, evaluation."
CTRL-0000001447,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method for assessing Business Criticality."
CTRL-0000001446,"A management-approved, adequately-resourced and funded, rolling programme of work shall be defined and deployed to address Enterprise Cyber Security risks and improve the Company's cyber risk posture. The programme shall incorporate financial planning cycles, periodic management reporting and reviews for effectiveness."
CTRL-0000001445,A supply chain risk management process shall be defined covering the cyber security risk aspects of the use of Suppliers for outsourced & subscription-based IT services.
CTRL-0000001444,"Cyber Security Risk Management Guidelines & Procedures shall be developed, approved, deployed, and maintained, to enable cyber risks to be managed consistently across the Company."
CTRL-0000001443,"Cyber Risk Appetite shall be defined in alignment with the Company’s enterprise risk model, and reviewed annually."
CTRL-0000001439,"Cyber security risk assessment results shall be formally documented, reported, and reassessed at appropriate intervals."
CTRL-0000001437,All physical access events shall be logged (preferably automatically).
CTRL-0000001436,"Risks shall be assessed for use of Suppliers of IT/OT systems, subsystems, components and/or services, using the Company’s defined third party Cyber Security risk management process."
CTRL-0000001435,"Physical access revocation shall be initiated upon change in location, role or access requirement."
CTRL-0000001434,"Physical access logs shall be subject to backup & restore controls, as per this Standard."
CTRL-0000001433,A centralised video surveillance solution shall be implemented at entry/exit points
CTRL-0000001432,"Physical access management rules shall be defined and published for access to the Company's premises for Employees, Contractors and Visitors."
CTRL-0000001431,All users of the Company’s facilities shall always wear visible identification badge in the facilities areas and shall remove the same outside the premises.
CTRL-0000001430,"Physical access rights shall be reviewed periodically (at least quarterly), updated and revoked as required."
CTRL-0000001429,Visitor access to the Company’s premises shall be strictly managed.
CTRL-0000001428,"For card entry systems, physical access shall be revoked immediately upon reporting of card lost incident."
CTRL-0000001427,MFA shall be performed for remote access to Company-managed IT networks from non-Company-managed networks.
CTRL-0000001426,"Delivery and loading areas shall have restricted access, and shall be segregated from other areas of the premises."
CTRL-0000001425,"A network segmentation architecture shall be established, documented and implemented for the Company IT/OT networks."
CTRL-0000001424,"DMZ's shall be securely configured between the Company internal IT network and the Internet, in order to provide a safe environment for internet-accessible System Assets."
CTRL-0000001423,"All the traffic from Untrusted Networks shall be denied by default. Only documented, justified and necessary traffic shall be permitted. All the protocols and ports permitted to ingress or egress the Company network shall be approved by the Network Security team."
CTRL-0000001422,The Company IT network boundaries & perimeters shall be securely managed in order to effectively protect trusted networks from untrusted networks.
CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
CTRL-0000001420,"Secure-by-design concept shall be applied to the design, management, and operation of the Company enterprise IT network, including documented network management guidelines & procedures."
CTRL-0000001418,"Secure network routing controls shall be established at the boundaries between the Company IT network and external networks, based on source and destination address checking mechanisms."
CTRL-0000001417,MFA shall be implemented for access to the Company IT System Assets from BYOC and BYOD devices.
CTRL-0000001416,Passwords shall be kept secret and are not to be shared.
CTRL-0000001415,"All users & devices shall be subject to the Company mandatory registration and authentication requirements, for access to all Company System Assets, using architectural components approved by the appointed CS architectural authorities."
CTRL-0000001414,"Where authentication factors such as physical or logical security tokens, smart cards, or certificates are used: 
- Factors shall be assigned to an individual user and not shared among multiple users.
- Physical and/or logical controls shall ensure that only the intended user can use that factor to gain access."
CTRL-0000001413,The Cyber Security Awareness & Training shall cover the additional responsibilities of higher-privileged users.
CTRL-0000001412,The Cyber Security Awareness & Training Programme shall be validated periodically to ensure effectiveness and sufficiency.
CTRL-0000001411,"Any material changes to the cyber security requirements, laws, regulations and control standards shall be communicated to the Employees and other relevant stakeholders, either via the general programme, or via targeted communications."
CTRL-0000001410,A Cyber Security Awareness & Training Programme shall be designed and applied for all Company Employees and Contractors.
CTRL-0000001409,"The Company’s governing Cyber Security policies, frameworks, standards, guidelines, procedures and checklists shall be available to all Employees & Contractors via formal communication channels and media."
CTRL-0000001408,"Cryptographic architecture shall be incorporated into the Company ’s security architecture. The term ""Strong Encryption"" shall only be assigned to cryptographic methods & technologies that have been validated and selected as part of the architecture by the appointed CS architectural authorities."
CTRL-0000001407,"Incident response training shall be provided to the Cyber Security Incident Management team and to individuals involved in the chain of IRP, in order to help achieve quality and consistency in the management of incidents."
CTRL-0000001406,Role-based skill training shall be provided to Employees & Contractors who have roles & responsibilities requiring the performing Cyber Security related activities.
CTRL-0000001405,"All identified Physical Assets to be disposed of (e.g. end-of-life End-points, Mobile Devices, storage media etc.) that may contain the Company's data, shall be sanitised and securely disposed by authorised personnel."
CTRL-0000001404,"A centralised key management system shall be implemented for IT cryptographic solutions, and shall be accessible to authorised personnel only."
CTRL-0000001403,The Company-owned Physical Assets shall not be taken off-site without prior authorisation.
CTRL-0000001402,"All Employees and external party users shall return all Company Physical Assets in their possession upon termination of their employment, contract or agreement."
CTRL-0000001401,Personnel handling of the Company information shall adhere to clear desk and clear screen practices to prevent unauthorised disclosure of information.
CTRL-0000001400,"All Company Physical Assets shall be protected against interference throughout removals and transfers  (e.g. system & data backup media protected from interference, hardware, software & data protected from unwanted access)."
CTRL-0000001399,"Documents shall be labelled (including physical copies) with the data classification for confidentiality by the person who created the document, to ensure that documents are identified and protected according to the classification level."
CTRL-0000001398,"Loss or theft of any Company asset, or a BYOD asset containing Company's data, shall be reported as a cyber security incident and managed via the Cyber Security Incident Management Procedure. This shall be incorporated into the Cyber Security awareness programme."
CTRL-0000001397,"Only the Company’s formally contracted/licenced software products & tools that have been approved by the appointed CS architectural authorities that meet cyber security requirements, shall be selected for business use, in order to help avoid data leakage."
CTRL-0000001396,The Company business shall only be conducted using company-provided identity.
CTRL-0000001395,"The disposal mechanism shall be capable of permanently destroying or deleting the Company’s data, ensuring data is not recoverable by any computer forensic means."
CTRL-0000001394,Automatic forwarding of electronic mail to other email addresses shall be prohibited.
CTRL-0000001393,Configuration management processes and procedures (for ensuring consistency and performance of IT & OT System Assets) shall also incorporate the security requirements laid out in the Cyber Security Control Standards.
CTRL-0000001392,"A Mobile Device Management (MDM) solution shall be implemented for all Mobile Devices (including BYOD and BYOC devices), including compliance rules for providing conditional access to the Company  IT networks and IT System Assets.  Compliance rules shall be defined by the appointed CS architectural authorities."
CTRL-0000001391,"BYOD shall comply with the Company’s requirements for privacy, legal, e-discovery and legal holds."
CTRL-0000001390,"The Company information accessed from, and stored in Mobile Devices shall be protected through a combination of device registration & authentication, access control, device-hardening in line with the Company End-point platform cyber security technical baselines, user awareness, and physical security controls."
CTRL-0000001389,"Guidance on principles, practices & techniques for secure System Assets development shall be provided, based on industry best practices for common models & platforms."
CTRL-0000001388,Jail-broken or rooted BYOD devices shall not be allowed to access the Company information.
CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
CTRL-0000001386,"Guidance on principles, practices & techniques for secure System Assets design, shall be provided, based on industry best practices for common models & platforms."
CTRL-0000001385,Design of data backup and recovery solutions shall be approved by the appointed CS architectural authorities for IT domain. Additional approval shall be obtained from the Company’s appointed technical authority for OT.
CTRL-0000001384,The backup process shall cater for restoring backups on new system hardware in case of partial or full system hardware failure.
CTRL-0000001383,"Access to and/or use of proprietary applications, programs, or any other forms of intellectual property (IP), shall be appropriately restricted according to licencing terms & conditions."
CTRL-0000001382,"Backup restoration shall be tested and verified as per schedule, where defined in the backup & restore plan."
CTRL-0000001381,"All fire exit doors shall function in failsafe manner. Fire doors on a security perimeter shall be alarmed, monitored and tested."
CTRL-0000001380,Data Centre locations shall not be publicly visible and identifiable.
CTRL-0000001379,Periodic inspection of physical security and environment control shall be conducted as per approved schedule. Records of inspection shall be retained.
CTRL-0000001378,"Toolchains shall be defined and implemented in support of the SDLC, including, but not limited to, orchestrators, code management systems, compilers, interpreters, build tools, peer review tools, issue management tools, testing tools."
CTRL-0000001377,The contractual agreements with Employees & Contractors shall clearly state their (and the Company) responsibilities for cyber security.
CTRL-0000001376,Emergency Services contact details and communication procedures shall be available for Data Centres.
CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
CTRL-0000001374,"Power supply cabling, signal cabling and communication cabling shall be protected from interception, interference or damage."
CTRL-0000001373,"The Company Employees and Contractors shall agree to terms and conditions stated under the employment contractual agreement, prior to employment."
CTRL-0000001372,"Root-cause analysis shall be performed on all major incidents (Severity 1 and 2, as defined in Cyber Security Incident Management Process) at minimum (however, it is recommended for all repetitive incidents)."
CTRL-0000001371,Confidentiality or non-disclosure agreement shall be signed by all Employees and Contractors on the day of joining the organization.
CTRL-0000001370,Security roles and responsibilities shall be documented (e.g. Job description covering general or specific responsibilities to safeguard the Company information).
CTRL-0000001369,Management shall require all Employees and Contractors to apply cyber security in accordance with the established standards and procedures of the Company.
CTRL-0000001368,"Personal information of candidates shall be handled in accordance with applicable legislation (e.g. PDPA, GDPR)."
CTRL-0000001367,"Background verification checks on candidates shall be carried out before employment, in accordance with relevant laws, regulations and business requirements."
CTRL-0000001366,"Employees and contractor’s logical and physical access revocation shall be initiated immediately upon termination of employment, contract, or upon change of roles."
CTRL-0000001365,"A virus scan shall be executed on removable media and devices when connecting to the Company’s data, systems, devices etc."
CTRL-0000001364,"Removable media or devices from an unknown source shall not be used to connect to or access to the Company’s data, systems, devices etc."
CTRL-0000001363,"Cyber security responsibilities, duties, and requirements, that remain valid after termination or change of employment, shall be defined and communicated to the Employees or Contractors, and duly enforced."
CTRL-0000001362,"IT and OT Physical Assets shall be effectively maintained, commensurate with risk-assessment and defined controls."
CTRL-0000001361,"Intrusion Detection Systems (IDS) and/or Intrusion Prevention Systems (IPS) shall be implemented at appropriate points in the network according to risk assessment, and shall be continuously updated with the latest attack signature information and scan engines.  Only passive types of IDS or IPS shall be used in OT environments."
CTRL-0000001360,"Remote maintenance of System Assets by Third Party Suppliers shall be performed in a manner that provides only required access, with activities logged. Standard Third Party Access methods & services shall be used to provide restricted access."
CTRL-0000001358,"The Company email services shall be designed & implemented securely, in order to protect against SPAM and preserve message authenticity."
CTRL-0000001357,"The Company-managed IT networks shall be periodically scanned for non-registered, and/or non-compliant devices, and/or servers that have been inactive for 30 days."
CTRL-0000001356,"Cyber Security-related event monitoring shall be implemented for IT & OT System Assets, at least for System Assets integrated into the SIEM system."
CTRL-0000001355,"Cyber security events shall be assessed for impact, in order to ascertain which assets were affected, and to what degree."
CTRL-0000001354,All physical access events shall be monitored for access to secure areas.
CTRL-0000001353,Execution of unauthorised Mobile Code on the Company-managed End-points shall be prohibited.
CTRL-0000001352,"System event logging & monitoring activities shall comply with federal laws, executive orders, directives, policies or regulations (including compliance requirements for log data e.g. transfer across jurisdictions)."
CTRL-0000001351,Agreements for use of BYOC/BYOD devices in the Company networks shall include the requirement for up-to-date anti-malware protection.
CTRL-0000001350,"The environmental conditions for siting of Physical Assets shall comply with the technical specifications of the equipment supplied. The environmental conditions shall be monitored, and should be equipped with diagnostics capabilities and alerting to prevent unnecessary impact from power failures, air-conditioning failures, and other disruptions."
CTRL-0000001349,"Evidence / artefacts shall be collected in ITSM and stored securely as per incident response plan to avoid any tampering. However, where criminal or civil legal action against a person or organization is involved, forensic principles shall be applied, conforming to the rules for evidence laid down in the relevant local jurisdictions. (e.g. chain of custody etc.)."
CTRL-0000001348,"Reports shall be periodically generated, listing vulnerabilities/non-compliances against the selected hardening specifications, and provided to IT Service Managers (and other agreed stakeholders, e.g. SOC)."
CTRL-0000001347,"The cyber security incident record shall be updated in ITSM to ensure captured details are maintained, tracked and communicated."
CTRL-0000001346,Roles & responsibilities for detection & reporting of Cyber Security events/incidents shall be clearly defined across organizational boundaries (including suppliers).
CTRL-0000001345,"Cyber security events (that are anomalous to a normal expected baseline of operations & data flows) shall be flagged and reported as a potential cyber security incident as promptly as possible, upon detection."
CTRL-0000001344,Cyber security incident details and status shall be communicated to relevant stakeholders.
CTRL-0000001343,Incident report shall be classified as Confidential and distributed securely to the relevant parties.
CTRL-0000001342,"Cyber Security Incident Response Plans (IRPs) shall be developed and implemented, to ensure proper resolution of cyber security incidents."
CTRL-0000001341,"The Company Employees, Contractors, joint venture staff, service providers, Suppliers and other Third Parties shall be made aware of the incident reporting channels and procedures, and of their roles & responsibilities for reporting & managing cyber security events & incidents."
CTRL-0000001340,Cyber security event/incident logging shall capture necessary data to facilitate immediate initial assessment and triage.
CTRL-0000001339,Cyber security incidents shall be responded to in accordance with Company Incident Response Plan (IRP).
CTRL-0000001338,Incidents shall be assessed for impact & severity.
CTRL-0000001337,"Non-registered devices connected to the Company-managed IT networks shall be traced and either, registered or, barred from access within 3 hours of discovery."
CTRL-0000001336,"Non-compliant devices connected to the Company-managed IT networks shall be traced and either, remediated or, barred from access within 4 weeks of discovery."
CTRL-0000001335,The IRP shall include the necessary steps to mitigate the incident.
CTRL-0000001334,Selected groups and associations within the wider (external) cyber security community shall be established for the purposes of threat intelligence-sharing.
CTRL-0000001333,"IT Servers that are registered for connection to the Company-managed IT networks, but have been inactive for 30 days or more shall be de-registered and forced to undergo re-registration."
CTRL-0000001332,"The IRP shall include the necessary steps to contain the incident, to avoid further spread and impact."
CTRL-0000001331,"The Company’s strategic communications function shall be involved for official press release and reporting to relevant authorities (where necessary), for Severe impact incidents, as required.  Any breach involving Personal Data or Sensitive Personal Data shall be reported to the relevant data protection authority within 72 hours of breach detection."
CTRL-0000001330,Any required audits and/or compliance assessments should be carefully planned to minimise the risk of disruptions to business processes.  Any audit activities should be logged and system audit tools & logs duly protected.
CTRL-0000001329,"The Cyber Security Awareness & Training should provide education for those facing higher risks, such as senior executives, and those handling Secret information."
CTRL-0000001328,"Recovery strategies shall be updated to reflect lessons learned from previous incidents, and changes in recovery capabilities."
CTRL-0000001327,A record of disposal of Physical Assets should be maintained electronically.
CTRL-0000001326,The Cyber Risk Appetite should also take into account the organization's role in providing national & global critical services & market supply.
CTRL-0000001324,"Secure design and development training, including secure coding practices, should be conducted for system/application architects and developers."
CTRL-0000001323,"Measures to protect against data leakage shall be implemented, to prevent leakage of the Company’s Secret and Confidential data."
CTRL-0000001322,"Risk Treatment Options (mitigate, accept, transfer, avoid) should be identified and approved."
CTRL-0000001321,"The effectiveness of deployed protection technologies should be analysed & reported periodically, in order to ascertain necessary improvements."
CTRL-0000001320,"Lessons learned from cyber security incidents shall be recorded and used to improve protection, and reduce the likelihood or impact from future incidents."
CTRL-0000001319,"Monitoring should also look for anomalous activities related to individual Employees, Contractors, & Third Parties (e.g. data leakage, malware infection, unexpected use of elevated privileges etc.)."
CTRL-0000001318,"Supplier activities in the Company-managed environments should be monitored, to detect potential Cyber Security events."
CTRL-0000001317,"Incident detection & response testing should take place at least annually, to establish the effectiveness of responses to typical incident types."
CTRL-0000001316,"Alert thresholds should be developed & refined (e.g. in the SIEM system) to help distinguish normally-expected events from anomalous events, and cut down on false positives."
CTRL-0000001315,"Results of incident detection & response testing should be documented and published to relevant stakeholders, and necessary improvements made to detection & response processes."
CTRL-0000001314,"Monitoring alerts should be progressively tuned to flag unauthorized personnel, connections, devices, and software on the network."
CTRL-0000001313,Incident communication and escalation matrix should be defined in IRP's.
CTRL-0000001312,"Incident impact, severity levels, response and resolution time should be defined in the IRP."
CTRL-0000001311,The Incident Response Plan (IRP) should include the roles & responsibilities for each of the response steps.
CTRL-0000001310,Incident information and individual incident responses should be correlated to achieve an organization-wide perspective on incident awareness and response.
CTRL-0000001309,"The categorisation and prioritisation of incidents should be adhered to, as defined in the IRP."
CTRL-0000001308,"The IRP should include communication & coordination with stakeholders, support teams, suppliers & Third Parties, as required."
CTRL-0000001307,"Response to a cyber security incident should involve Forensic Analysis, and evidence gathering, where necessary."
CTRL-0000001306,"The IRP should include incident categorization, prioritization, management, and reporting."
CTRL-0000001305,"Detected events shall be investigated to ascertain if they are cyber security incidents, to be handled further under the Cyber Security Incident Management Procedure."
CTRL-0000001304,"Response strategies shall be continuously improved to reflect lessons learned from previous incidents, changes in the threat landscape, and changes in response capabilities."
CTRL-0000001303,IRP's shall incorporate lessons learned from previous incidents.
CTRL-0000001302,"Reputation damage should be contained, and repaired to as great an extent as practically possible, following an incident."
CTRL-0000001301,"Cyber security event/incident reporting shall be enabled through various channels which include, but not limited to email, phone and ticketing system. The reporting mechanism shall be accessible, available and user-friendly, in order to encourage reporting."
CTRL-0000001300,"For outsource/Cloud infrastructure services, where the Company is responsible for vulnerability management, then the Company standard tools and techniques shall be used, where possible."
